K,K,K,W,W,W,W,W,W,L,L,L,L,L,L,L,W,F,F,F,F,F,F,F
K,K,K,K,K,K,K,K,W,L,L,L,L,L,L,L,W,F,F,F,F,F,F,F
K,K,K,K,K,K,K,K,W,L,L,L,L,L,L,L,W,W,FL,F,F,F,F,F
K,K,K,K,K,K,K,K,W,L,L,L,L,L,L,L,W,F,F,F,F,F,F,F
K,K,K,K,K,K,K,K,W,L,L,L,L,L,L,L,W,F,F,F,F,F,F,F
K,KD,W,W,W,W,W,W,W,W,W,L,L,L,L,LR,W,F,F,FD,F,F,F,F
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,D,D,D,D,D,W,X,X,X,X,X,X,W,W,S,S,S,S,W,B,B,BU,B
W,D,D,D,D,D,W,X,X,X,X,X,X,W,W,S,S,S,S,W,B,B,B,B
W,D,D,D,D,DR,W,X,X,X,X,X,X,W,W,SL,S,S,S,W,B,B,B,B
D,D,D,D,D,D,W,X,X,X,X,X,X,W,W,SL,S,S,S,W,B,B,B,B
D,D,D,D,D,D,W,X,X,X,X,X,X,W,W,SL,S,S,S,W,B,B,B,B
D,D,D,D,D,D,W,X,X,X,X,X,X,W,W,S,S,S,S,W,BL,B,B,B
D,D,D,D,D,D,W,X,X,X,X,X,X,W,W,S,S,S,S,W,BL,B,B,B
D,DD,DD,DD,D,D,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,GL,G,G,G,G,G,G
T,T,T,T,T,T,TR,W,W,C,C,CU,CU,C,C,W,W,G,G,G,G,G,G,G
T,T,T,T,T,T,T,W,W,C,C,C,C,C,C,W,W,G,G,G,G,G,G,G
T,T,T,T,T,T,T,W,CL,C,C,C,C,C,C,W,W,G,G,G,G,G,G,G
T,T,T,T,T,T,T,W,C,C,C,C,C,C,C,W,W,GL,G,G,G,G,G,G
T,T,T,T,T,T,T,W,C,C,C,C,C,C,C,W,W,GL,G,G,G,G,G,G
T,T,T,T,T,T,T,W,C,C,C,C,C,C,C,W,W,G,G,G,G,G,G,G
T,T,T,T,T,T,T,W,C,C,C,C,C,C,C,W,W,G,G,G,G,G,G,G
T,T,T,T,T,T,T,W,C,C,C,C,C,C,C,W,W,G,G,G,G,G,G,G
